id_equip_urbano,id_espacio,ambito,condicion,geografico,tipo,nombre
6335,5694,Urbana,En Operación,Escuela,Preescolar,CENDI SEP 28 Bertha Von Glumer
6336,2072,Urbana,En Operación,Escuela,Medio Superior,CECATI SEP Coyoacán Número 157
6337,2073,Urbana,En Operación,Templo,No Aplica,Capilla San Judas Tadeo
6338,2074,Urbana,En Operación,Escuela,Preescolar,Mahatma Gandhi
6339,2075,Urbana,En Operación,Escuela,Primaria,Xavier Villaurrutia
6340,1223,Urbana,En Operación,Templo,No Aplica,Parroquia Inmaculada Concepción
6341,1224,Urbana,En Operación,Escuela,Primaria,José Santos Valdéz
6342,6606,Urbana,En Operación,Escuela,Primaria,Emiliano Negrete López
6343,6607,Urbana,En Operación,Escuela,Secundaria,Marcos Moshinsky Número 269
6344,6608,Urbana,En Operación,Escuela,Primaria,Gabriel Lucio Arguelles
6345,6609,Urbana,En Operación,Templo,No Aplica,Parroquia Nuestra Señora del Carmen
6346,4605,Urbana,En Operación,Escuela,Primaria,Coyolxauhqui
6347,7119,Urbana,En Operación,Escuela,Primaria,Estefanía Castañeda
6348,7120,Urbana,En Operación,Escuela,Preescolar,Ejidos de Culhuacán
6349,7207,Urbana,En Operación,Escuela,Preescolar,Centro Educativo Alexander
6350,7208,Urbana,En Operación,Templo,No Aplica,Rectoría Nuestra Señora de Guadalupe Culhuacán
