id_tiempo,anio,trimestre,mes,semana_mes,semana_anio,dia_semana,dia,hora,minuto
200604289999,2006,2,4,5,17,Viernes,28,99,99
200604299999,2006,2,4,5,17,Sábado,29,99,99
200604309999,2006,2,4,5,17,Domingo,30,99,99
200605019999,2006,2,5,1,18,Lunes,1,99,99
200605029999,2006,2,5,1,18,Martes,2,99,99
200605039999,2006,2,5,1,18,Miércoles,3,99,99
200605049999,2006,2,5,1,18,Jueves,4,99,99
200605059999,2006,2,5,1,18,Viernes,5,99,99
200605069999,2006,2,5,1,18,Sábado,6,99,99
200605079999,2006,2,5,1,18,Domingo,7,99,99
200605089999,2006,2,5,2,19,Lunes,8,99,99
200605099999,2006,2,5,2,19,Martes,9,99,99
200605109999,2006,2,5,2,19,Miércoles,10,99,99
200605119999,2006,2,5,2,19,Jueves,11,99,99
200605129999,2006,2,5,2,19,Viernes,12,99,99
200605139999,2006,2,5,2,19,Sábado,13,99,99
200605149999,2006,2,5,2,19,Domingo,14,99,99
200605159999,2006,2,5,3,20,Lunes,15,99,99
200605169999,2006,2,5,3,20,Martes,16,99,99
200605179999,2006,2,5,3,20,Miércoles,17,99,99
200605189999,2006,2,5,3,20,Jueves,18,99,99
200605199999,2006,2,5,3,20,Viernes,19,99,99
200605209999,2006,2,5,3,20,Sábado,20,99,99
200605219999,2006,2,5,3,20,Domingo,21,99,99
200605229999,2006,2,5,4,21,Lunes,22,99,99
200605239999,2006,2,5,4,21,Martes,23,99,99
200605249999,2006,2,5,4,21,Miércoles,24,99,99
200605259999,2006,2,5,4,21,Jueves,25,99,99
200605269999,2006,2,5,4,21,Viernes,26,99,99
200605279999,2006,2,5,4,21,Sábado,27,99,99
200605289999,2006,2,5,4,21,Domingo,28,99,99
200605299999,2006,2,5,5,22,Lunes,29,99,99
200605309999,2006,2,5,5,22,Martes,30,99,99
200605319999,2006,2,5,5,22,Miércoles,31,99,99
200606019999,2006,2,6,1,22,Jueves,1,99,99
200606029999,2006,2,6,1,22,Viernes,2,99,99
200606039999,2006,2,6,1,22,Sábado,3,99,99
200606049999,2006,2,6,1,22,Domingo,4,99,99
200606059999,2006,2,6,2,23,Lunes,5,99,99
200606069999,2006,2,6,2,23,Martes,6,99,99
200606079999,2006,2,6,2,23,Miércoles,7,99,99
200606089999,2006,2,6,2,23,Jueves,8,99,99
200606099999,2006,2,6,2,23,Viernes,9,99,99
200606109999,2006,2,6,2,23,Sábado,10,99,99
200606119999,2006,2,6,2,23,Domingo,11,99,99
200606129999,2006,2,6,3,24,Lunes,12,99,99
200606139999,2006,2,6,3,24,Martes,13,99,99
200606149999,2006,2,6,3,24,Miércoles,14,99,99
200606159999,2006,2,6,3,24,Jueves,15,99,99
200606169999,2006,2,6,3,24,Viernes,16,99,99
200606179999,2006,2,6,3,24,Sábado,17,99,99
200606189999,2006,2,6,3,24,Domingo,18,99,99
200606199999,2006,2,6,4,25,Lunes,19,99,99
200606209999,2006,2,6,4,25,Martes,20,99,99
200606219999,2006,2,6,4,25,Miércoles,21,99,99
200606229999,2006,2,6,4,25,Jueves,22,99,99
200606239999,2006,2,6,4,25,Viernes,23,99,99
200606249999,2006,2,6,4,25,Sábado,24,99,99
200606259999,2006,2,6,4,25,Domingo,25,99,99
200606269999,2006,2,6,5,26,Lunes,26,99,99
200606279999,2006,2,6,5,26,Martes,27,99,99
200606289999,2006,2,6,5,26,Miércoles,28,99,99
200606299999,2006,2,6,5,26,Jueves,29,99,99
200606309999,2006,2,6,5,26,Viernes,30,99,99
200607019999,2006,3,7,1,26,Sábado,1,99,99
200607029999,2006,3,7,1,26,Domingo,2,99,99
200607039999,2006,3,7,2,27,Lunes,3,99,99
200607049999,2006,3,7,2,27,Martes,4,99,99
200607059999,2006,3,7,2,27,Miércoles,5,99,99
200607069999,2006,3,7,2,27,Jueves,6,99,99
200607079999,2006,3,7,2,27,Viernes,7,99,99
200607089999,2006,3,7,2,27,Sábado,8,99,99
200607099999,2006,3,7,2,27,Domingo,9,99,99
200607109999,2006,3,7,3,28,Lunes,10,99,99
200607119999,2006,3,7,3,28,Martes,11,99,99
200607129999,2006,3,7,3,28,Miércoles,12,99,99
200607139999,2006,3,7,3,28,Jueves,13,99,99
200607149999,2006,3,7,3,28,Viernes,14,99,99
200607159999,2006,3,7,3,28,Sábado,15,99,99
200607169999,2006,3,7,3,28,Domingo,16,99,99
200607179999,2006,3,7,4,29,Lunes,17,99,99
200607189999,2006,3,7,4,29,Martes,18,99,99
200607199999,2006,3,7,4,29,Miércoles,19,99,99
200607209999,2006,3,7,4,29,Jueves,20,99,99
200607219999,2006,3,7,4,29,Viernes,21,99,99
200607229999,2006,3,7,4,29,Sábado,22,99,99
200607239999,2006,3,7,4,29,Domingo,23,99,99
200607249999,2006,3,7,5,30,Lunes,24,99,99
200607259999,2006,3,7,5,30,Martes,25,99,99
200607269999,2006,3,7,5,30,Miércoles,26,99,99
200607279999,2006,3,7,5,30,Jueves,27,99,99
200607289999,2006,3,7,5,30,Viernes,28,99,99
200607299999,2006,3,7,5,30,Sábado,29,99,99
200607309999,2006,3,7,5,30,Domingo,30,99,99
200607319999,2006,3,7,6,31,Lunes,31,99,99
200608019999,2006,3,8,1,31,Martes,1,99,99
200608029999,2006,3,8,1,31,Miércoles,2,99,99
200608039999,2006,3,8,1,31,Jueves,3,99,99
200608049999,2006,3,8,1,31,Viernes,4,99,99
200608059999,2006,3,8,1,31,Sábado,5,99,99
200608069999,2006,3,8,1,31,Domingo,6,99,99
200608079999,2006,3,8,2,32,Lunes,7,99,99
200608089999,2006,3,8,2,32,Martes,8,99,99
200608099999,2006,3,8,2,32,Miércoles,9,99,99
200608109999,2006,3,8,2,32,Jueves,10,99,99
200608119999,2006,3,8,2,32,Viernes,11,99,99
200608129999,2006,3,8,2,32,Sábado,12,99,99
200608139999,2006,3,8,2,32,Domingo,13,99,99
200608149999,2006,3,8,3,33,Lunes,14,99,99
200608159999,2006,3,8,3,33,Martes,15,99,99
200608169999,2006,3,8,3,33,Miércoles,16,99,99
200608179999,2006,3,8,3,33,Jueves,17,99,99
200608189999,2006,3,8,3,33,Viernes,18,99,99
200608199999,2006,3,8,3,33,Sábado,19,99,99
200608209999,2006,3,8,3,33,Domingo,20,99,99
200608219999,2006,3,8,4,34,Lunes,21,99,99
200608229999,2006,3,8,4,34,Martes,22,99,99
200608239999,2006,3,8,4,34,Miércoles,23,99,99
200608249999,2006,3,8,4,34,Jueves,24,99,99
200608259999,2006,3,8,4,34,Viernes,25,99,99
200608269999,2006,3,8,4,34,Sábado,26,99,99
200608279999,2006,3,8,4,34,Domingo,27,99,99
200608289999,2006,3,8,5,35,Lunes,28,99,99
200608299999,2006,3,8,5,35,Martes,29,99,99
200608309999,2006,3,8,5,35,Miércoles,30,99,99
200608319999,2006,3,8,5,35,Jueves,31,99,99
200609019999,2006,3,9,1,35,Viernes,1,99,99
200609029999,2006,3,9,1,35,Sábado,2,99,99
200609039999,2006,3,9,1,35,Domingo,3,99,99
200609049999,2006,3,9,2,36,Lunes,4,99,99
200609059999,2006,3,9,2,36,Martes,5,99,99
200609069999,2006,3,9,2,36,Miércoles,6,99,99
200609079999,2006,3,9,2,36,Jueves,7,99,99
200609089999,2006,3,9,2,36,Viernes,8,99,99
200609099999,2006,3,9,2,36,Sábado,9,99,99
200609109999,2006,3,9,2,36,Domingo,10,99,99
200609119999,2006,3,9,3,37,Lunes,11,99,99
200609129999,2006,3,9,3,37,Martes,12,99,99
200609139999,2006,3,9,3,37,Miércoles,13,99,99
200609149999,2006,3,9,3,37,Jueves,14,99,99
200609159999,2006,3,9,3,37,Viernes,15,99,99
200609169999,2006,3,9,3,37,Sábado,16,99,99
200609179999,2006,3,9,3,37,Domingo,17,99,99
200609189999,2006,3,9,4,38,Lunes,18,99,99
200609199999,2006,3,9,4,38,Martes,19,99,99
200609209999,2006,3,9,4,38,Miércoles,20,99,99
200609219999,2006,3,9,4,38,Jueves,21,99,99
200609229999,2006,3,9,4,38,Viernes,22,99,99
200609239999,2006,3,9,4,38,Sábado,23,99,99
200609249999,2006,3,9,4,38,Domingo,24,99,99
200609259999,2006,3,9,5,39,Lunes,25,99,99
200609269999,2006,3,9,5,39,Martes,26,99,99
200609279999,2006,3,9,5,39,Miércoles,27,99,99
200609289999,2006,3,9,5,39,Jueves,28,99,99
200609299999,2006,3,9,5,39,Viernes,29,99,99
200609309999,2006,3,9,5,39,Sábado,30,99,99
200610019999,2006,4,10,1,39,Domingo,1,99,99
200610029999,2006,4,10,2,40,Lunes,2,99,99
200610039999,2006,4,10,2,40,Martes,3,99,99
200610049999,2006,4,10,2,40,Miércoles,4,99,99
200610059999,2006,4,10,2,40,Jueves,5,99,99
200610069999,2006,4,10,2,40,Viernes,6,99,99
200610079999,2006,4,10,2,40,Sábado,7,99,99
200610089999,2006,4,10,2,40,Domingo,8,99,99
